iter	Passed	Remaining
0	0	943
1	1	796
2	2	815
3	3	775
4	3	750
5	4	726
6	5	727
7	5	708
8	6	701
9	7	694
10	7	691
11	8	691
12	8	682
13	9	679
14	10	673
15	10	669
16	11	667
17	12	665
18	12	660
19	13	657
20	14	656
21	14	657
22	15	658
23	16	657
24	16	655
25	17	652
26	18	651
27	18	650
28	19	649
29	20	648
30	20	649
31	21	647
32	22	645
33	22	644
34	23	642
35	23	641
36	24	642
37	25	643
38	26	662
39	27	666
40	28	666
41	29	665
42	29	665
43	30	665
44	31	666
45	32	666
46	32	663
47	33	660
48	33	658
49	34	656
50	35	655
51	35	653
52	36	653
53	37	653
54	38	655
55	38	654
56	39	654
57	40	655
58	41	655
59	41	655
60	42	653
61	43	652
62	43	652
63	44	651
64	45	651
65	46	651
66	46	650
67	47	650
68	48	650
69	48	650
70	49	649
71	50	649
72	51	648
73	51	648
74	52	647
75	53	646
76	53	646
77	54	645
78	55	645
79	56	645
80	56	644
81	57	644
82	58	643
83	59	643
84	59	643
85	60	644
86	61	643
87	62	644
88	62	644
89	63	644
90	64	643
91	65	642
92	65	643
93	66	643
94	67	643
95	68	644
96	69	645
97	70	646
98	70	645
99	71	644
100	72	644
101	73	643
102	73	642
103	74	641
104	75	640
105	75	640
106	76	639
107	77	638
108	77	637
109	78	636
110	79	635
111	79	633
112	80	633
113	81	632
114	81	630
115	82	629
116	83	627
117	83	626
118	84	624
119	84	623
120	85	621
121	86	619
122	86	618
123	87	618
124	88	616
125	88	615
126	89	613
127	89	612
128	90	611
129	91	610
130	91	609
131	92	609
132	93	608
133	93	607
134	94	606
135	95	605
136	95	604
137	96	603
138	97	602
139	97	601
140	98	600
141	99	599
142	99	598
143	100	597
144	101	596
145	101	595
146	102	593
147	102	592
148	103	591
149	104	590
150	104	589
151	105	589
152	106	588
153	106	587
154	107	585
155	107	584
156	108	582
157	109	581
158	109	580
159	110	579
160	110	578
161	111	577
162	112	576
163	112	575
164	113	573
165	113	572
166	114	571
167	115	570
168	115	568
169	116	567
170	116	566
171	117	566
172	118	564
173	118	563
174	119	562
175	119	561
176	120	560
177	121	558
178	121	557
179	122	556
180	122	555
181	123	556
182	124	555
183	125	554
184	125	553
185	126	552
186	126	551
187	127	550
188	128	549
189	128	549
190	129	548
191	130	547
192	130	546
193	131	545
194	131	544
195	132	543
196	133	542
197	133	541
198	134	540
199	134	538
200	135	538
201	135	537
202	136	536
203	137	535
204	137	534
205	138	533
206	139	532
207	139	531
208	140	530
209	140	529
210	141	529
211	142	528
212	142	527
213	143	526
214	143	525
215	144	524
216	145	523
217	145	522
218	146	521
219	146	520
220	147	519
221	148	518
222	148	517
223	149	516
224	149	515
225	150	514
226	150	513
227	151	512
228	151	511
229	152	510
230	153	509
231	153	508
232	154	507
233	154	507
234	155	506
235	156	505
236	156	504
237	157	503
238	157	502
239	158	501
240	158	500
241	159	499
242	160	498
243	160	498
244	161	497
245	162	496
246	162	496
247	163	495
248	163	494
249	164	493
250	164	492
251	165	491
252	166	490
253	166	489
254	167	488
255	167	487
256	168	487
257	169	486
258	169	485
259	170	484
260	170	483
261	171	482
262	171	481
263	172	480
264	173	480
265	173	479
266	174	478
267	174	477
268	175	476
269	175	475
270	176	474
271	176	473
272	177	473
273	178	472
274	178	471
275	179	470
276	179	469
277	180	468
278	181	467
279	181	466
280	182	466
281	182	465
282	183	464
283	183	463
284	184	462
285	185	461
286	185	461
287	186	460
288	186	459
289	187	458
290	187	457
291	188	456
292	188	455
293	189	455
294	190	454
295	190	453
296	191	452
297	191	452
298	192	451
299	193	450
300	193	449
301	194	448
302	194	448
303	195	447
304	196	446
305	196	445
306	197	445
307	197	444
308	198	443
309	198	442
310	199	441
311	199	440
312	200	439
313	200	439
314	201	438
315	202	439
316	203	438
317	204	437
318	204	437
319	205	436
320	205	435
321	206	434
322	206	433
323	207	432
324	208	432
325	208	431
326	209	430
327	210	430
328	210	429
329	211	428
330	211	427
331	212	427
332	212	426
333	213	425
334	213	424
335	214	424
336	215	423
337	215	422
338	216	421
339	216	420
340	217	420
341	217	419
342	218	418
343	218	417
344	219	416
345	220	415
346	220	415
347	221	414
348	221	413
349	222	412
350	222	412
351	223	411
352	223	410
353	224	409
354	225	408
355	225	408
356	226	407
357	226	406
358	227	405
359	227	405
360	228	404
361	228	403
362	229	402
363	230	401
364	230	401
365	231	400
366	231	399
367	232	399
368	232	398
369	233	397
370	233	396
371	234	395
372	235	395
373	235	394
374	236	393
375	236	392
376	237	391
377	237	391
378	238	390
379	239	390
380	239	389
381	240	388
382	240	387
383	241	386
384	241	386
385	242	385
386	242	384
387	243	383
388	243	383
389	244	382
390	245	381
391	245	380
392	246	380
393	246	379
394	247	378
395	247	377
396	248	377
397	248	376
398	249	375
399	249	374
400	250	374
401	251	373
402	251	372
403	252	372
404	252	371
405	253	370
406	253	369
407	254	369
408	254	368
409	255	367
410	256	367
411	256	366
412	257	365
413	257	364
414	258	364
415	258	363
416	259	362
417	260	362
418	260	361
419	261	360
420	261	359
421	262	359
422	263	358
423	263	358
424	264	357
425	264	356
426	265	355
427	265	355
428	266	354
429	266	353
430	267	352
431	267	352
432	268	351
433	269	350
434	269	350
435	270	349
436	270	348
437	271	348
438	271	347
439	272	346
440	272	345
441	273	345
442	273	344
443	274	343
444	275	343
445	275	342
446	276	341
447	276	341
448	277	340
449	277	339
450	278	338
451	278	338
452	279	337
453	280	336
454	280	336
455	281	335
456	281	334
457	282	334
458	282	333
459	283	332
460	284	332
461	284	331
462	285	330
463	285	330
464	286	329
465	286	328
466	287	328
467	288	327
468	288	326
469	289	326
470	289	325
471	290	324
472	290	323
473	291	323
474	291	322
475	292	322
476	293	321
477	293	320
478	294	320
479	295	319
480	295	319
481	296	318
482	296	317
483	297	317
484	298	316
485	298	315
486	299	315
487	299	314
488	300	314
489	301	313
490	301	312
491	302	312
492	302	311
493	303	310
494	303	310
495	304	309
496	305	308
497	305	308
498	306	307
499	306	306
500	307	306
501	307	305
502	308	304
503	308	303
504	309	303
505	309	302
506	310	301
507	311	301
508	311	300
509	312	300
510	312	299
511	313	298
512	314	298
513	314	297
514	315	296
515	315	296
516	316	295
517	316	294
518	317	294
519	318	293
520	318	293
521	319	292
522	319	291
523	320	291
524	321	290
525	321	289
526	322	289
527	322	288
528	323	288
529	324	287
530	324	286
531	325	286
532	325	285
533	326	284
534	326	284
535	327	283
536	327	282
537	328	282
538	329	281
539	329	280
540	330	280
541	330	279
542	331	278
543	332	278
544	332	277
545	333	277
546	333	276
547	334	275
548	334	275
549	335	274
550	336	273
551	336	273
552	337	272
553	337	271
554	338	271
555	338	270
556	339	270
557	340	269
558	340	268
559	341	268
560	341	267
561	342	266
562	343	266
563	343	265
564	344	265
565	344	264
566	345	263
567	345	262
568	346	262
569	346	261
570	347	261
571	348	260
572	348	260
573	349	259
574	350	258
575	350	258
576	351	257
577	351	256
578	352	256
579	352	255
580	353	254
581	354	254
582	354	253
583	355	253
584	355	252
585	356	251
586	356	251
587	357	250
588	357	249
589	358	249
590	359	248
591	359	247
592	360	247
593	361	246
594	361	246
595	362	245
596	362	245
597	363	244
598	364	243
599	364	243
600	365	242
601	365	241
602	366	241
603	367	240
604	367	240
605	368	239
606	368	238
607	369	238
608	370	237
609	370	236
610	371	236
611	371	235
612	372	235
613	373	234
614	373	233
615	374	233
616	374	232
617	375	231
618	375	231
619	376	230
620	376	230
621	377	229
622	378	228
623	378	228
624	379	227
625	379	227
626	380	226
627	381	225
628	381	225
629	382	224
630	382	223
631	383	223
632	383	222
633	384	221
634	384	221
635	385	220
636	385	219
637	386	219
638	386	218
639	387	217
640	387	217
641	388	216
642	388	215
643	389	215
644	390	214
645	390	214
646	391	213
647	392	212
648	392	212
649	393	211
650	393	211
651	394	210
652	394	209
653	395	209
654	396	208
655	396	207
656	397	207
657	397	206
658	398	206
659	398	205
660	399	204
661	400	204
662	400	203
663	401	203
